R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.76,0.72,202294.791757281,106179.120007307,752.381105187526,41.7051968480882,2196952.82713753,7493779.17479585,0.052519728323204,274.713151031596,15.2276099991582
15,0.03,0.76,0.73,200416.556954456,107931.414524701,753.024116068335,41.105301429225,2198830.41892948,7492027.48017387,0.0517614642192137,274.947930379451,15.0085731843458
15,0.03,0.76,0.74,198572.336067002,109753.936204897,753.655482345301,40.4813638462701,2200674.00845065,7490205.58243126,0.0509752998370569,275.178457991328,14.7807579743694
15,0.03,0.76,0.75,196761.192302225,111651.302969897,754.27552471554,39.8318031598445,2202484.53217306,7488308.86522694,0.0501592187373633,275.404850961762,14.5435871287382
15,0.03,0.76,0.76,194982.220975775,113628.592541491,754.884552901702,39.1548810197134,2204262.89447132,7486332.25257749,0.0493110031404164,275.627222378234,14.2964259323228
15,0.03,0.76,0.77,193234.547945279,115691.405133052,755.482866160772,38.4486802009556,2206009.96918856,7484270.14618675,0.0484282056521757,275.845681506952,14.0385743583739
15,0.03,0.76,0.78,191517.328102946,117845.937337108,756.070753816198,37.7110793094461,2207726.60114324,7482116.35158358,0.0475081158773219,276.060333987139,13.7692578328615
15,0.03,0.76,0.79,189829.743918122,120099.069723265,756.648495748663,36.9397227924421,2209413.60758613,7479863.99055394,0.0465477207566795,276.271282010231,13.4876162845904
15,0.03,0.76,0.8,188171.004021518,122458.471352946,757.216362881985,36.1319851581787,2211071.7796156,7477505.3966619,0.0455436571430908,276.478624497285,13.19269108088
15,0.03,0.76,0.81,186540.341821353,124932.725338148,757.77461765783,35.2849279910467,2212701.88356099,7475031.98973386,0.0444921546996534,276.682457272315,12.8834093327309
15,0.03,0.76,0.82,184937.014140533,127531.480810001,758.323514501709,34.3952479253675,2214304.66234497,7472434.12394207,0.0433889666242529,276.882873232436,12.5585648987498
15,0.03,0.76,0.83,183360.299862137,130265.638349966,758.863300286833,33.4592131633125,2215880.83683758,7469700.90243687,0.0422292849128007,277.07996251723,12.2167952062545
15,0.03,0.76,0.84,181809.498567899,133147.578264522,759.394214800455,32.4725853253919,2217431.1072173,7466819.94915015,0.0410076357794407,277.273812679016,11.8565527169337
15,0.03,0.76,0.85,180283.929150778,136191.444344188,759.916491218495,31.4305223059946,2218956.154358,7463777.12513351,0.0397177493170914,277.464508856153,11.4760694569763
15,0.03,0.76,0.86,178782.928377552,139413.500384323,760.430356597896,30.3274562189922,2220456.64126585,7460556.17215946,0.0383523952940254,277.652133952807,11.0733124519595
15,0.03,0.76,0.87,177305.849369999,142832.583457225,760.936032396436,29.1569382207384,2221933.2145976,7457138.25960455,0.0369031738099919,277.836768828749,10.6459270678471
15,0.03,0.76,0.88,175852.059962545,146470.687828591,761.433735035082,27.9114386071249,2223386.50630242,7453501.4007328,0.0353602448448954,278.018492504684,10.1911640214265
15,0.03,0.76,0.89,174420.940878427,150353.728342457,761.923676522279,26.58208546989,2224817.13544505,7449619.68957207,0.0337119736483981,278.197382390197,9.70578395719361
15,0.03,0.76,0.9,173011.88364248,154512.555154362,762.406065168614,25.1583173042185,2226225.71029235,7445462.28652833,0.0319444579568533,278.37351454469,9.1859306057028
15,0.03,0.76,0.91,171624.288111713,158984.328271007,762.881106432142,23.6274124371519,2227612.83078185,7440992.04431656,0.0300408855979326,278.546963986036,8.62695896611507
15,0.03,0.76,0.92,170257.559445868,163814.420198738,763.349003955541,21.9738376586739,2228979.09155018,7436163.6059636,0.0279806424750197,278.717805069267,8.02319747512329
15,0.03,0.76,0.93,168911.104243162,169059.116428697,763.809960889022,20.1783237146029,2230325.08579595,7430920.70524759,0.025738042405576,278.886111969604,7.36761044629438
15,0.03,0.76,0.94,167584.325400342,174789.562567058,764.264181650003,18.2165140123351,2231651.41041801,7425192.22091893,0.0232804644425325,279.051959324957,6.65130467875387
15,0.03,0.76,0.95,166276.614958361,181097.738700867,764.711874372359,16.0569193048949,2232958.67316727,7418886.20437983,0.0205655239232478,279.215423130208,5.86278266119976
15,0.03,0.76,0.96,164987.343630717,188105.892654753,765.153254491367,13.6576882285052,2234247.50311479,7411880.44965702,0.0175365900494515,279.37658204616,4.98676341443298
